"","SAI","Policy_num","Prime","Competitor","Program","mstr_agt_cd","pri_agt_cd","sub_agt_cd","insured_zip_cd"
"19","5729V4188","0F432630","LAWRENCE & WHEELER INC","Hartford","BLDG PAC OFC PRIMARY","CXX67","51602","51602","5149"
"20","3826W9188","0F528756","COUNTRY CLUB INS SERVICE","Main Street","BLDG PAC MERCANTILE OTHER","CTP63","CTP63","CTP63","85249"
"21","8131WA188","0F585505","CLEMENS & ASSOCIATES INC","Other","OFC PAC LAWYERS","ZC059","ZC059","ZC059","61701"
"22","8236W0188","0F587720","CLEMENS & ASSOCIATES INC","Other","OFC PAC ACTG BKNG FIRMS","ZC059","ZC059","ZC059","62549"
"24","1990X3188","0F624209","BRIDGE INS ASSOCIATES","Other","CONSULTANTS - ALL OTHER","CTH60","CTH60","CTH60","2139"
"26","2615X5188","0F641292","MOSAIC INS ALLIANCE LLC","CNA","SOFTWARE DEVELOP/PRGRM SVCS","CXG90","X3552","X3552","98225"
"27","4125X6188","0F656717","BRIDGE INS ASSOCIATES","Hartford","CONSULTANTS - MANAGEMENT","CTH60","CTH60","CTH60","2139"
"30","6146x1188","0F686328","A 2 Z INSURANCE INC","Other","STORE PAC FABRIC STORES","CPL29","CMK94","CMK94","37064"
"31","8532xa188","0F720142","LOVINS INSURANCE","Other","GARAGE PAC BODY REPAIR AND COL","HF658","HF658","HF658","45212"
"32","9430X9188","0F731248","IDEAL INSURANCE AGENCY","Liberty","BUILDING LRO-FOR RELIGIOUS USE","RL945","RL945","RL945","85027"
"33","1813Y7188","0F750576","JAMES UNLAND & COMPANY","Hartford","OFC PAC ACTG BKNG FIRMS","CF194","CF194","CF194","61554"
"34","5279y5188","0F80245A","ALLEN INS AND FIN","Liberty","STORE PAC CRAFT STORE","1108","1108","1108","4843"
"35","3170h4196","0G474757","SALEM FIVE INS SERVS","Hanover","BLDG PAC GAS STATIONS - LESSOR","HF238","HF238","HF238","1864"
"36","7189ha196","0G522852","J E D INS & FIN SERV AGCY INC","Zurich","COMPUTER CONSULTANTS","TE727","XV695","XV695","2760"
"37","8703h5196","0G543952","INSITE INS SERVICES","Other","BLDG PAC APART INCIDENTAL MERC","CWW50","CWW50","CWW50","5091"
"38","9692VA186","0G658430","RUA-DUMONT-AUDET INS","Guard Insurance (Berkshire Hathaway)","STORE PAC LIQUOR STORES","CKR23","CKR23","CKR23","1754"
"41","1104l2196","0G791529","ASSOC AGENCIES INC","Hartford","BUS PAC COIN OPERATED LAUNDRIE","RR589","RR589","RR589","72901"
"44","5170m6196","0G970507","REDUCEMYINSURANCE NET","Other","JANITORIAL SERVICES","VJ933","DFP64","DFP64","37129"
"45","5202Y5201","0H551726","BORAWSKI\ALEXANDER W\INC","Liberty","RESTAURANT SUB SANDWICH TAKE-O","G6089","DHG58","DHG58","1089"
"46","4880E2200","0H59976A","MCINTIRE & ASSOC INS","Other","STORE PAC FLORISTS SHOPS INC.","CYH82","DCW25","DCW25","37311"
"48","4992B4202","0H743828","ELY & LEENE AGENCY","Other","STORE PAC LIQUOR STORES","CJV56","25457","25457","14527"
"49","8147A9202","0H787917","ELITE INS & CONSULTING","Seneca","CONDO PAC BLDG 5-12 UNITS","CVN75","CVN75","CVN75","20020"
"50","8946B2202","0H795837","HUB INTERNATIONAL NE","Erie","BUS PAC FUNERAL PARLORS & CREM","F6007","F8425","F8425","4048"
"51","8946B2202","0H795837","HUB INTERNATIONAL NE","Ohio Casualty (Liberty Company)","BUS PAC FUNERAL PARLORS & CREM","F6007","F8425","F8425","4048"
"52","9668b1202","0H804390","MNB INSURANCE","Auto Owners","GARAGE PAC GENERAL REPAIRS WIT","VL928","VL928","VL928","69001"
"53","2112C6202","0H823367","RAYMOND PRESTON & REED","Erie","RESTAURANT OTHER ETHIC CUISINE","CPD39","CPD39","CPD39","37167"
"54","4789C3202","0H856792","SECURITY PLANNING & INS","Other","RESTAURANT OTHER ETHIC CUISINE","XK470","XK470","XK470","84123"
"55","7076C2202","0H892219","MCCASHLAND-KIRBY INS","Liberty","GARAGE PAC TRANSMISSION REPAIR","ZZ624","ZZ624","ZZ624","68521"
"57","7657C8202","0H901558","ION INSURANCE CORP","Hanover","PET DAY CARE-NO OVERNGT BOARD","VY581","HG578","HG578","6410"
"58","9021C7202","0H921188","KEITH\ROGER\& SONS INS","Liberty","OFC PAC PHYS AND SURG & OSTEOP","G6089","DHD84","DHD84","2301"
"59","2211D2202","0H948293","RYON\RICHARD B\INS LLP","Hartford","RESTAURANT ALL OTHER - FAMILY","JR960","JA327","JA327","17972"
"60","2412d3202","0H951003","CLAUSS\E T\& CO INC","Amtrust","MUSCL INSTRUMS-PIANOS ORGANS","HF288","HF288","HF288","14214"
"61","2029W5185","0H967812","EXCHANGE UNDERWRITERS","GNY","APART PAC BLDG 5-12 UNITS","HH271","HH271","HH271","15137"
"64","7327D9202","0H993669","COMMERCIAL INS AGCY INC","Other","RESTAURANT ALL OTHER - FAMILY","G6335","G6335","G6335","2129"
"65","8698F2207","0J001945","DESERT MOUNTAIN INS SVCS","Other","OFC PAC PHYS AND SURG & OSTEOP","TH887","CNQ55","CNQ55","85251"
"66","9814F4207","0J015950","BROADMOOR AGENCY INC","Other","STORE PAC FOOD AND DRINKS BAKE","VE529","VE529","VE529","61108"
"71","9977f0207","0J018061","VISTA INTERNATIONAL INS","Hanover","STORE PAC CLOTHING WOMEN'S","XL603","X1372","X1372","95472"
"72","3830G9207","0J056213","MACKOUL & ASSOCS INC","Other","APART PAC BLDG 1-4 UNITS","F4123","F4123","F4123","10019"
"74","5015G0207","0J07684A","SUMMIT INS ADVISORS","Hartford","STORE PAC PHOTOGRAPHY - PORTRA","CMR35","CMR35","CMR35","85201"
"75","8865G0207","0J120922","MALPIGLI & ASSOC INS","CNA","STORE PAC DISCOUNT STORES","GF368","GF368","GF368","11767"
"76","1543h7207","0J142348","BIG SKY INS ASSOC LLC","Hartford","BLDG PAC OFC PRIMARY","WF520","CRP27","CRP27","59806"
"77","5333B3182","0J162532","MCMAHON AGCY INC","Hanover","STORE PAC MUSIC INSTRUMENTS PI","FV979","F4634","F4634","14068"
"78","5734H4207","0J200159","HONDROS\CHRIS\INS ASSOC","Main Street America","CON PAC HEATING-COMBINE HVAC","NX162","NX162","NX162","20744"
"79","7016H0207","0J219412","BAER INS SERVICES INC","Auto Owners","CONDO PAC BLDG 1-4 UNITS","HF968","HF968","HF968","53744"
"82","8591h8207","0J238703","OAKLEY INSURANCE GROUP","Liberty","STORE PAC CONVENIENCE STORE W","DJH95","DJH95","DJH95","85716"
"83","7476h5139","0J259919","ED BERRONG INS AGCY INC","Hartford","TAX PREPARATION SERVICES","PW541","BCX33","BCX33","73096"
"85","3611J4207","0J294227","HOLLIS\C L\INS AGENCY","Other","BLDG PAC MERCANTILE SHOP CENTE","CTN93","CTN93","CTN93","2356"
"87","5202JA207","0J315203","B & G GROUP INC\THE","Amtrust","BLDG PAC MERCANTILE SHOP CENTE","F2953","XW730","XW730","10019"
"88","5583J1207","0J320495","PEARL INS GROUP LLC","CNA","OFC PAC ACTG BKNG FIRMS","CWN97","X3590","X3590","46224"
"90","9706J4207","0J375875","CLEMENS & ASSOCIATES INC","Other","COFFEE BARS","ZC059","ZC059","ZC059","61761"
"91","1344K9207","0J384534","BROWN & BROWN-JAMESTOWN","Erie Ins.","BUS PAC DENTAL LABS","74892","FX628","FX628","14701"
"92","6934k0207","0J454995","COMPASS INSURANCE AGENCY","Other","SOFTWARE DEVELOP/PRGRM SVCS","CYL03","CYL03","CYL03","49024"
"93","9308K1207","0J489645","PARADIGM INS AGENCY","Guard Insurance (Berkshire Hathaway)","GARAGE PAC GENERAL REPAIRS WIT","WK957","DJJ82","DJJ82","89118"
"95","9947K2207","0J497713","TOWNEINSURANCE AGCY LLC","Selective","BLDG PAC MERCANTILE SHOP CENTE","HG158","WL158","WL158","20120"
"97","7023M2200","0J503379","RYAN-REUM INS AGENCY","Other","CONDO PAC BLDG 5-12 UNITS","WH183","WH183","WH183","60477"
"98","2296L4207","0J51554A","ANDERSON BENSON INS","Other","COMMERCIAL CONDOMINIUM - OFFIC","DCJ89","DCJ89","DCJ89","37203"
"99","4307P0204","0J523446","GALLINA AND SONS","Millers","APART PAC BLDG 5-12 UNITS","G1989","G1989","G1989","15632"
"100","3897l4207","0J540166","CARLSON MIKUZIS & TAYLOR","Other","OFC PAC PHYS AND SURG & OSTEOP","PR007","PR007","PR007","60634"
"101","6716L8207","0J577123","ECKBURG INSURANCE GROUP","Other","APART PAC BLDG 5-12 UNITS","DHV15","DHV15","DHV15","61073"
"102","7387LA207","0J586826","PEARL INS GROUP LLC","CNA","OFC PAC ACTG BKNG FIRMS","CWN97","X3590","X3590","78750"
"103","8114L2207","0J596383","KONEN INSURANCE AGCY INC","Erie Ins.","GARAGE PAC GENERAL REPAIRS WIT","DDY40","HG759","HG759","60538"
"104","3078m8207","0J65032A","FIREFLY AGENCY LLC","Hartford","OFC PAC TRAVEL AGENCIES","CDN94","CHY95","CHY95","45040"
"105","2550R6207","0J670483","ISU-GREAT NORTHERN INS","Main Street America","BUS PAC PRINTERS","HE771","CZQ89","CZQ89","48103"
"106","2595R5207","0J671387","Y W KIM INC","Farmers","RESTAURANT ORIENTAL-FAMILY STY","CKH04","CXJ76","CXJ76","89104"
"107","4255R7207","0J693343","ORGILL-SINGER & ASSOC","Liberty Mutual","OFC PAC DENTISTS","TM972","TM972","TM972","89128"
"108","4744R4207","0J700166","OLD HARBOR INS SVCS LLC","Other","APART PAC BLDG 5-12 UNITS","XG032","DFW96","DFW96","92375"
"109","5127R7207","0J705623","HANCOCK INTERNATIONAL","Other","RESTAURANT ALL OTHER - FAST FO","WK957","CKD16","CKD16","85018"
"110","5154R0207","0J706109","MOMENTOUS INS BROKERAGE","Hanover","JUICE BARS","CPF45","CPF45","CPF45","91301"
"111","5546R3207","0J71168A","SCHOENFELD INS ASSOC INC","Harford Mutual","BLDG PAC OFC PRIMARY","HF104","HF104","HF104","21401"
"112","5732R2207","0J714030","CHARLIE KIM FINANCIAL","Liberty Mutual","STORE PAC LIQUOR STORES","CMJ36","CMJ36","CMJ36","19119"
"113","5960R7207","0J718090","IRACI ASSOCIATES INC","Other","CONDO PAC BLDG 1-4 UNITS","G1882","G1882","G1882","7836"
"114","1487T3207","0J782481","BOULE\L & S\INS AGCY INC","Other","CONDO PAC BLDG 1-4 UNITS","8849","XY361","XY361","1742"
"115","2778TA207","0J798743","LEAVITT GRP OF N UT","Auto Owners","GARAGE PAC GENERAL REPAIRS WIT","FE307","VE935","VE935","84302"
"116","4746T6207","0J823025","C H VALLOS & ASSOCIATES","Other","APART PAC BLDG 5-12 UNITS","CQG85","CQG85","CQG85","44313"
"117","5237T7207","0J82983A","VAN ZANDT EMRICH & CARY","Other","BLDG PAC MERCANTILE OTHER","CGB40","HF688","HF688","40222"
"118","5710T8207","0J836229","RICE INSURANCE LLC","Other","APART PAC BLDG 13-24 UNITS","VC895","VC895","VC895","85210"
"119","7043T4207","0J853379","NCMIC INSURANCE SERVICES","Liberty Mutual","OFC PAC CHIROPRACTORS","CJG37","CJG37","CJG37","84014"
"121","8196T8207","0J873121","MIDDLE TENNESSEE INS SVC","Other","BUS PAC BEAUTY SHOPS","CSF13","CSF13","CSF13","35601"
"122","8342t0207","0J877408","LAM & ASSOCIATED LTD","Other","RESTAURANT ORIENTAL-FAMILY STY","F7956","F7956","F7956","21740"
"123","8566T3207","0J878325","CORNERSTONE INS SERV LLC","Other","BLDG PAC MERCANTILE OTHER","CJJ78","CJJ78","CJJ78","30024"
"124","8735T8207","0J880683","SMITH\K L\AGENCY LLC","Hartford","STORE PAC FOOD AND DRINKS BAKE","EJ854","CYS60","CYS60","6237"
"125","1499V4207","0J90473A","THOMPSON-GUSIC INS GRP","Hartford","BLDG PAC MERCANTILE OTHER","WL027","WL027","WL027","15209"
"126","1639V6207","0J906795","RDS INSURANCE LLC","Guard Insurance (Berkshire Hathaway)","GARAGE PAC GENERAL REPAIRS WIT","JY256","DFP00","DFP00","20743"
"128","1665v5207","0J907116","DENTISTS BENEFITS-WA","Other","OFC PAC DENTISTS","DLG68","DDG17","DDG17","98520"
"129","2301V4207","0J917318","FLATHER & PERKINS INC","Liberty","ANTIQUE STORES","28543","X2536","X2536","6798"
"130","3754V2207","0J933539","RQ INS SERVICES INC","Allied","GARAGE PAC TRANSMISSION REPAIR","CZT64","CZT64","CZT64","95112"
"131","4054V1207","0J937495","WRIGHT GARDNER INS INC","Penn National","STORE PAC CONVENIENCE STORE W","GV175","99037","99037","21703"
"132","4269T8202","0J937655","WRIGHT GARDNER INS INC","Penn National","BLDG PAC MERCANTILE OTHER","GV175","99037","99037","21703"
"133","5416V3207","0J956381","THUMANN AGENCY INC","CNA","BLDG PAC OFC PRIMARY","CKG65","CKG65","CKG65","75019"
"135","5416V3207","0J956381","THUMANN AGENCY INC","Other","BLDG PAC OFC PRIMARY","CKG65","CKG65","CKG65","75019"
"136","6013V7161","0J974325","C H INSURANCE BROKERAGE","Main Street America","SYS INTGRTN,RSELL,INSTAL,REPAI","G0435","G0435","G0435","13210"
"137","1842fa142","0J974860","WESCO INS SERVICES LLC","Other","BUS PAC DRYCLEANERS  PLANT ON","95969","95969","95969","73099"
"138","7036v1207","0J977106","CARLETON INSURANCE AGCY","Liberty Mutual","PET DAY CARE-NO OVERNGT BOARD","G4006","G4006","G4006","8053"
"139","7249V0207","0J980018","ADAMS EADDY & ASSOCIATES","Liberty","GARAGE PAC GENERAL REPAIRS WIT","GG046","G6642","G6642","29484"
"140","3249F5214","0K000421","TOTAL INS SRVCS INC","Hanover","CONDO PAC BLDG 5-12 UNITS","RK215","RK215","RK215","60076"
"141","3411F8214","0K003214","MARSH & MCLENNAN AGENCY","Hartford","BLDG PAC MFG PROCESSING","FC387","CJ352","CJ352","35810"
"142","3559F9214","0K00578A","VETINSURE LLC","CNA","OFC PAC VETERINARIANS","DCL59","X4321","X4321","77089"
"144","3586F2214","0K006197","OMNI FINANCIAL CORP","HIG","RESTAURANT ORIENTAL-FAMILY STY","G6278","G6278","G6278","23608"
"146","3585F8214","0K006228","GLOBAL FACILITIES INC","Hartford","BUS PAC PRINTERS","XJ176","XJ176","XJ176","11779"
"148","2765fa214","0K006517","COMPASS INSURANCE AGENCY","Liberty","RESTAURANT OTHER ETHIC CUISINE","CYL03","CYL03","CYL03","49512"
"154","5614e8214","0K007077","PAWSON GROUP\THE","Peerless (Liberty Company)","STORE PAC CONVENIENCE STORE W","JC276","TW636","TW636","6353"
"156","3092F2214","0K008338","TRUENORTH COMPANIES LC","Other","BLDG PAC MERCANTILE OTHER","WM371","WM371","WM371","52233"
"157","3723F0214","0K008720","NCMIC INSURANCE SERVICES","Hartford","OFC PAC PHYS AND SURG & OSTEOP","CJG37","CJG37","CJG37","4106"
"158","3739F7214","0K008904","PROF SOLUTIONS INS","Other","OFC PAC DENTISTS","CJG37","CJG42","CJG42","48089"
"161","3769F4214","0K009360","YOUNG & ASSOC AGENCY INC","Other","CON PAC PAINT- INTERIOR & PAPE","XL930","XL930","XL930","55806"
"163","3824F3214","0K010580","LAM & ASSOCIATED LTD","Seneca","BLDG PAC MERCANTILE OTHER","F7956","F7956","F7956","22124"
"164","6571E7214","0K010740","M J CARTER & COMPANY INC","Cincinnati","BLDG PAC APART INCIDENTAL MERC","HE568","XW551","XW551","35633"
"165","3870F0214","0K011042","MYERS INS GROUP INC","Other","RESTAURANT ALL OTHER - FAMILY","VY534","CND20","CND20","61820"
"166","3862F0214","0K011146","WAITES & FOSHEE INS","Hanover","GARAGE PAC GENERAL REPAIRS WIT","NR224","PH357","PH357","31012"
"167","3882F9214","0K01116A","MID ATLANTIC INS SERVS","Nationwide","BUS PAC DAY SPA","EJ330","X1363","X1363","22151"
"170","3909f6214","0K011552","NORTHERN INSURING AGENCY","Other","BLDG PAC MERCANTILE SHOP CENTE","VE438","VE438","VE438","12901"
"171","3871F5214","0K011700","SUTTER MCLELLAN GILBREAT","Liberty","BLDG PAC MERCANTILE SHOP CENTE","FU131","FU131","FU131","30319"
"173","3977F0214","0K012512","INSPERITY INS SVCS LLC","Hartford","STORE PAC SPECIALTY FOOD SHOP","DDS12","DDS12","DDS12","92037"
"174","3995FA214","0K012757","ADVANCED INSURORS INC","Zurich","RESTAURANT ORIENTAL-FAMILY STY","HG399","HG399","HG399","30310"
"175","4099F0214","0K013902","RAGLAND STROTHER LAFITTE","Other","BLDG PAC MERCANTILE OTHER","G0835","G0835","G0835","75248"
"177","4115F8214","0K014253","BOULE\L & S\INS AGCY INC","Other","CON PAC PAINTING - EXTERIOR","8849","8849","8849","1532"
"180","4134F1214","0K014726","HUB INT'L NORTHEAST LTD","Hartford","BLDG PAC OFC PRIMARY","G6004","XV070","XV070","19401"
"181","4174F8214","0K015157","ADVANCED INSURORS INC","Zurich","RESTAURANT ORIENTAL-FAMILY STY","HG399","HG399","HG399","30311"
"182","4172f9214","0K015213","SEAN S FINCHER INC","Allied","STORE PAC CONVENIENCE STORE W","DKR15","DJQ28","DJQ28","28304"
"183","1940G8159","0K015587","1 SOURCE INSURANCE","Liberty","STORE PAC FOOD AND DRINKS DELI","CBG32","CMF36","CMF36","80903"
"184","4209F5214","0K015815","BUDD AGENCY INC","Other","BUS PAC BEAUTY SHOPS","CJH78","CJH78","CJH78","8889"
"186","4232F0214","0K01618A","NICHOLSON ASSOC INC","Other","CERAMICS AND POTTERY","F5717","F5717","F5717","6405"
"187","4212F2214","0K016222","INS OFFICE OF AM-ATLANTA","Other","APART PAC BLDG 1-4 UNITS","VJ001","TT798","TT798","33778"
"188","4252F9214","0K016719","ADVANCED INSURORS INC","Zurich","RESTAURANT ORIENTAL-FAMILY STY","HG399","HG399","HG399","30331"
"189","4126F1214","0K020223","BURGESS INS SRVCS INC","Hartford","OFC PAC INS AGENTS","WH865","VK162","VK162","30519"
"190","4617F8214","0K020721","MIDDLE PENINSULA INS","Alfa","CON PAC ELEC-WIRING WITHIN BLD","EJ330","CJK71","CJK71","23188"
"191","4634F2214","0K021072","NECKERMAN INSURANCE","Other","CONDO PAC BLDG 1-4 UNITS","RJ582","RJ582","RJ582","53597"
"192","4658F9214","0K021778","PARTNERS RISK SERVICES","Hartford","STORE PAC HEALTH FOOD STORES","CBZ93","CLZ16","CLZ16","30033"
"194","4673F4214","0K021883","OMNI FINANCIAL CORP","Liberty Mutual","BUILDING LRO-FOR RELIGIOUS USE","G6278","G6278","G6278","21144"
"195","4689F0214","0K021914","DREHER AGENCY INC","Other","STORE PAC BICYCLE STORES","JA276","JA276","JA276","18360"
"196","4676F8214","0K022068","MOUNTAIN AIR PROP & CAS","EMC","GARAGE PAC GLASS INSTALLATION","CVK37","DCS09","DCS09","59875"
"197","4723F7214","0K022671","PENINSULA EXCESS INS BKR","Hartford","OFC PAC - INTERIOR DECORATORS","XL699","XY753","XY753","80027"
"198","4744FA214","0K022818","LANDERS INS SERVICES","EMC","APART PAC BLDG 5-12 UNITS","WM400","X4228","X4228","92324"
"199","4628F1214","0K024086","INTERMOUNTAIN INS ASSOCS","Liberty","OFC PAC ACTG BKNG FIRMS","WY380","CHY22","CHY22","84121"
"200","4211H9153","0K024338","GFH INSURANCE AGENCY INC","Auto Owners","APART PAC BLDG 5-12 UNITS","EJ330","CZX18","CZX18","23831"
"202","4831F5214","0K024664","ELLIS-MORELAND-ELLIS INC","Other","STORE PAC FABRIC STORES","HJ980","25285","25285","13104"
"203","4959F8214","0K026079","REISING ENTERPRISES INC","Auto Owners","BLDG PAC OFC PRIMARY","DFN92","DFN92","DFN92","61080"
"204","9990L4197","0K026227","UNIVERSAL BUSINESS INS","State Auto","BLDG PAC OFC PRIMARY","VE500","VE500","VE500","85327"
"206","5041F5214","0K02709A","GOLDSMITH THEODORE AGCY","Hartford","RESTAURANT SUB SANDWICH TAKE-O","G6170","G6170","G6170","29150"
"207","4775F1214","0K027261","MARCURE INSURANCE INC","Allied","RESTAURANT STEAK BARBECUE-FAMI","CTW12","X4385","X4385","59701"
"208","4775F1214","0K027261","MARCURE INSURANCE INC","Other","RESTAURANT STEAK BARBECUE-FAMI","CTW12","X4385","X4385","59701"
"209","5066f6214","0K027341","R E T INC","Guard Insurance (Berkshire Hathaway)","BLDG PAC MFG PROCESSING","DKK93","CNY01","CNY01","75252"
"210","5085FA214","0K027550","HERLONG BATES BURNETT","Other","BLDG PAC OFC PRIMARY","CBW65","X1831","X1831","29304"
"211","5097F8214","0K027709","MAGNUM CHOICE INSURANCE","Other","BUS PAC DAY SPA","XF958","DKS32","DKS32","75043"
"212","5123F4214","0K028313","CENTURION INSURANCE SERV","Allied","BLDG PAC OFC PRIMARY","TE407","TE407","TE407","91436"
"213","5134f8214","0K028847","BARKER-UERLINGS INS INC","Liberty","OFC PAC CHIROPRACTORS","51677","51677","51677","97330"
"214","5243F0214","0K029518","BURGESS INS SRVCS INC","Hartford","OFC PAC INS AGENTS","WH865","VK162","VK162","30014"
"215","5253FA214","0K029868","MCCLURE\B D\& ASSOCS LTD","Hartford","PUBLIC RELATIONS","GV550","GV550","GV550","60651"
"216","5248F3214","0K029948","JORGENSEN INSURANCE AGCY","State Auto","APART PAC BLDG 1-4 UNITS","FM132","FM132","FM132","52804"
"217","5260F5214","0K030044","ANTHONY BAKER & BURNS","Liberty","GARAGE PAC GENERAL REPAIRS WIT","DCW19","DCW19","DCW19","99009"
"218","5292F1214","0K030204","WILKENS\ROBERT\INSURANCE","Hartford","BUS PAC COIN OPERATED LAUNDRIE","CGZ15","CGZ15","CGZ15","7036"
"219","5358F0214","0K031354","GRESS-KINNEY-PARRISH INS","Allied","STORE PAC VACUUM CLENER SALE &","HH397","HH397","HH397","98901"
"220","5377F4214","0K031551","AMERICAN MGT CORP-WEST","Other","BUS PAC PRINTERS","CFP79","CHX80","CHX80","90211"
"221","5424F3214","0K032455","ELFSTRUM CONSULTING","Hartford","OFC PAC CHIROPRACTORS","DGZ72","CQK18","CQK18","55044"
"223","8513K6206","0K032916","HERLONG BATES BURNETT","Hartford","OFC PAC DENTISTS","CBW65","X1831","X1831","29607"
"224","5464FA214","0K033199","RENN & COMPANY INC","Hartford","BUS PAC DAY SPA","RN450","RN450","RN450","67152"
"225","5523F7214","0K034196","LYNN KIECKE LACKEY EASON","Guard Insurance (Berkshire Hathaway)","FINANCIAL PLANNERS","WA992","VY494","VY494","77474"
"228","4167F2214","0K035224","GUARINO\DANIEL J\INS AGY","Other","STORE PAC LIQUOR STORES","F4419","F4419","F4419","2128"
"229","5640fa214","0K035617","INSURE","Liberty","COMMERCIAL CONDOMINIUM - OFFIC","VE428","WD465","WD465","32162"
"231","5745F0214","0K037149","COBB HALL INS AGENCIES","Liberty","RESTAURANT OTHER ETHIC CUISINE","CTD18","CTD18","CTD18","48336"
"232","5755FA214","0K037198","BOWMAN\E G\CO INC","CNA","STORE PAC FOOD AND DRINKS DELI","EF373","EF373","EF373","10606"
"236","5763FA214","0K037278","DANIELS-HEAD INS AGCY","Liberty","OFC PAC LAWYERS","XL721","XY757","XY757","77024"
"237","5801F4214","0K037807","WEALCATCH\HERMAN E\INC","Other","APART PAC BLDG 5-12 UNITS","G8288","G8288","G8288","20814"
"239","5787F6214","0K037900","MCCREDIE INS AGENCY INC","Other","CONDO PAC BLDG 5-12 UNITS","HF551","HF551","HF551","48844"
"240","5823F1214","0K038054","GALVIN\JOHN C","Erie","CON PAC CARPET,RUG,UPHOLSTRY C","CWQ10","CWQ10","CWQ10","61201"
"242","5835FA214","0K038226","NCMIC INSURANCE SERVICES","Hartford","OFC PAC CHIROPRACTORS","CJG37","CJG37","CJG37","90035"
"243","5841f0214","0K038472","FINLAN\C L\& SON INC","Other","BLDG PAC OFC PRIMARY","K3802","K3802","K3802","48170"
"244","5858F1214","0K038539","CAPITAL INSURANCE GROUP","Hiscock","CON PAC CONCRETE CONSTRUCTION","EJ330","DKN44","DKN44","25302"
"245","5830F7214","0K03859A","MT STATE AGCY ALLIANCE","Hartford","BLDG PAC MERCANTILE OTHER","HU396","X4344","X4344","25510"
"246","5889F3214","0K039099","SECURITY FIRST INSURANCE","Auto Owners","JEWELRY-IMITATION AND NOVELTY","EP939","EP939","EP939","80910"
"247","5968F9214","0K04050A","MANNING & NOZICK INS INC","Hartford","OFC PAC PSYCHOLOGISTS","F5598","F5598","F5598","30606"
"249","6013F3214","0K04069A","MONSON INSURANCE","Hartford","BUS PAC BARBER SHOPS","F0994","F0994","F0994","84119"
"250","6035F0214","0K040897","GALLINA AND SONS","State Farm","APART PAC BLDG 1-4 UNITS","G1989","G1989","G1989","15226"
"251","6042f6214","0K040977","CORNERSTONE INS SERV LLC","Guard Insurance (Berkshire Hathaway)","STORE PAC WIG SHOPS","CJJ78","CJJ78","CJJ78","30519"
"253","6004F9214","0K041255","FORTNER INS AGENCY INC","Other","PUBLISHR-BOOKS PERIODCLS-OFF","CSN55","CSN55","CSN55","61616"
"254","6047F9214","0K041267","DIBUDUO & DEFENDIS INS","Nationwide","RESTAURANT ALL OTHER - FAST FO","21761","CGH31","CGH31","95020"
"255","6060f5214","0K041292","INSURANCE SOLUTIONS INC","Other","CON PAC POWER WASHERS","GV298","XV231","XV231","27529"
"256","6069F6214","0K041323","MAIN STREET INS AGCY INC","Other","GARAGE PAC BODY REPAIR AND COL","RF791","CHH82","CHH82","14040"
"258","6084F1214","0K041532","LSB FINANCIAL SERVICES","Other","APART PAC BLDG 1-4 UNITS","NT661","NT661","NT661","50312"
"259","6110F8214","0K041882","HMP INSURANCE","Other","BLDG PAC MFG PROCESSING","WV780","WV780","WV780","38004"
"260","6109fa214","0K042092","HUGUENOT-NATIONAL INC","Other","CON PAC FENCE DEALER/INSTALLER","CFH80","CFH80","CFH80","10598"
